personid,age,hisp,PriceCategory,married,MyBestBuy,hhincome,appliances,Warranty,familysize,productgeneration,newcustomer,weekend
54963010,62,0,12,0,0,0,0,0,2,7,1,1
21629010,59,0,12,0,0,0,0,1,2,7,1,1
20421010,60,0,13,0,1,0,1,0,1,8,0,0
38784010,62,0,10,0,0,0,0,1,2,6,1,1
55630030,54,0,9,0,0,0,0,1,2,5,0,0
15893020,62,0,12,1,1,0,1,0,4,7,0,0
86263010,59,0,5,1,0,0,0,1,3,4,1,0
51270010,59,0,11,0,0,0,0,0,2,7,1,0
57341010,65,0,14,0,0,0,0,1,2,8,1,1
39703010,58,0,12,0,0,0.101,0,0,2,8,1,1
86836010,60,0,11,0,0,0.12,0,0,1,7,1,0
59903010,61,0,12,0,1,0.124,1,0,2,8,1,0
37607010,64,0,10,1,0,0.2,0,0,4,7,1,0
37607020,59,0,10,1,0,0.2,0,0,4,6,1,0
76279010,58,0,8,0,0,0.23999999,0,1,1,6,0,0
60397010,62,0,14,0,0,0.396,0,0,1,8,0,0
12792010,65,0,14,0,0,0.40000001,1,0,1,9,1,0
59085010,63,0,16,0,0,0.5,1,0,2,10,0,0
10147010,67,1,8,0,0,0.528,0,0,2,6,0,1
83829020,69,0,9,0,0,0.60000002,1,1,2,5,0,0
38932010,59,0,12,1,0,0.69999999,0,1,3,7,1,0
38932020,59,0,10,1,0,0.69999999,0,1,3,6,0,0
86303010,65,0,12,0,0,0.76800001,1,1,1,8,1,1
78965010,61,0,9,0,0,0.77999997,1,0,2,6,1,0
23049010,69,0,5,0,0,0.912,0,0,1,5,1,0
61077020,67,0,9,1,0,1,0,0,4,6,1,1
41436010,64,0,7,1,0,1.02,0,1,3,5,1,1
30118010,66,1,4,0,0,1.1160001,0,0,1,4,1,1
51385010,66,0,0,0,0,1.248,1,1,2,2,1,1
25097010,61,0,6,1,0,1.26,0,0,4,5,0,0
77338010,63,0,13,0,0,1.34,0,1,2,8,1,0
85016010,68,0,10,0,0,1.344,1,1,1,7,1,0
84788010,65,0,3,0,0,1.544,1,1,1,4,0,1
71970010,66,1,3,0,0,1.6799999,0,0,2,4,0,1
84622010,65,0,0,1,0,1.824,0,0,3,2,1,0
17613010,65,0,12,0,0,2.0599999,0,1,1,7,0,1
56752010,68,1,12,0,1,2.1359999,0,0,2,7,1,0
56911010,64,0,12,0,0,2.3039999,0,0,2,8,1,0
74243010,59,1,6,0,0,2.3399999,1,0,2,4,0,0
59493010,66,1,3,0,0,2.3640001,0,0,1,4,1,1
59872030,72,0,8,1,1,2.4360001,0,0,4,6,1,0
59256010,66,0,10,0,0,2.7249999,0,0,2,7,0,0
56792010,66,1,2,0,0,2.76,0,0,2,2,1,0
44945010,65,0,11,0,1,2.8,0,0,2,8,0,1
75838010,67,0,11,0,1,2.802,0,0,2,7,1,1
65564030,57,1,3,0,0,2.8800001,0,0,1,4,1,0
10410010,63,0,8,0,0,3.05,0,0,1,5,0,0
42211010,66,1,6,0,0,3.154,1,0,2,4,1,0
44311010,59,0,14,0,0,3.1800001,0,1,2,8,0,0
41353030,70,0,5,1,1,3.3599999,0,0,3,4,0,1
41353020,67,0,7,1,0,3.3599999,1,1,3,6,1,1
