day,dayofweek,Sales1,Price1,feat1,disp1
1,2,5929,4.29168,0,0
2,3,6089,4.29168,0,0
3,4,8909,4.29168,29.59472927,0
4,5,8165,4.29168,24.44936119,0
5,6,6469,4.29168,0,0
6,7,4917,4.29168,0,0
7,1,5299,4.29168,0,0
8,2,3968,4.29168,0,0
9,3,5244,4.29168,44.53896938,0
10,4,5616,4.29168,0,0
11,5,5676,4.17408,0,0
12,6,5426,4.17408,0,0
13,7,5857,4.17408,25.46647562,0
14,1,5503,4.17408,25.67867607,0
15,2,5038,4.17408,0,0
16,3,7786,3.68976,0,0
17,4,12105,3.68976,36.01295585,0
18,5,13238,3.68976,43.29795315,0
19,6,9302,3.68976,58.40543326,8.970625046
20,7,10073,3.68976,69.07376687,6.824421253
21,1,10009,3.68976,67.22801032,9.937921278
22,2,8726,3.69632,27.16014592,10.86462064
23,3,6544,5.12096,0,9.372015361
24,4,6999,5.12096,0,5.713743047
25,5,6129,5.12096,0,3.777881475
26,6,7952,5.12096,0,2.550246474
27,7,7292,5.12096,0,4.091957949
28,1,7880,5.12096,0,3.673643993
29,2,8324,5.12096,0,1.94150144
30,3,8312,5.12096,0,2.467636554
31,4,5854,4.69568,0,4.319226242
32,5,5733,4.69568,2.094082655,4.329837195
33,6,11278,4.69568,44.02545185,3.829019792
34,7,13672,4.69568,47.97192982,3.987368421
35,1,9159,4.69568,0,3.648721573
36,2,7803,4.69568,0,3.694856315
37,3,7088,4.69568,48.92950392,3.665474995
38,4,6596,4.69568,0,1.767180174
39,5,6878,4.69568,0,0.902467084
40,6,5348,4.69568,0,1.105569139
41,7,5122,4.69568,0,1.135098439
42,1,5088,4.69568,0,1.576762574
43,2,7004,4.69568,0,0
44,3,7502,4.69568,2.078692158,0
45,4,7397,4.58576,2.58365351,0
46,5,7435,4.58576,2.503969209,0.989944672
47,6,6762,4.58576,2.265868837,0
48,7,6996,4.58576,0,0
49,1,6963,4.58576,0,0
50,2,7555,4.58576,0,0
51,3,6694,4.58576,0,0
52,4,6361,4.58576,0,0
53,5,8505,4.58576,0,0
54,6,8043,4.58576,0,0
55,7,7397,4.58576,32.05366667,8.348666667
56,1,7833,4.58576,31.06257305,7.017532142
57,2,7466,4.58576,2.162267273,10.44062888
58,3,6632,4.58576,2.226997985,11.49510697
59,4,10892,4.58576,43.05876371,10.15890672
60,5,10812,4.58576,0,9.000605001
61,6,5567,4.58576,27.27477283,11.65880571
62,7,6866,4.58576,30.15354488,5.080065869
63,1,6570,4.58576,20.2979146,9.651550259
64,2,6926,4.58576,23.25052753,9.023594859
65,3,6121,4.58576,38.42391148,4.904919289
66,4,5591,4.58576,42.24187867,2.291585127
67,5,7196,4.58576,0,2.074014546
68,6,7981,4.58576,0,2.202726947
69,7,14321,4.58576,75.00288646,0
70,1,8214,4.58576,43.32466322,1.275515354
71,2,6916,4.58576,0,1.367338869
72,3,8241,4.58576,0,0
73,4,10777,4.58576,88.05594492,14.52125588
74,5,7664,4.99008,23.53861904,4.195427141
75,6,4883,4.99008,0,2.274214065
76,7,6117,5.3376,0,0
77,1,9478,5.3376,38.03621958,20.23203169
78,2,8656,5.3376,0,26.48047143
79,3,7385,5.3376,0,23.01613965
80,4,6118,5.3376,0,7.525717674
81,5,5764,5.3376,0,6.114644398
82,6,6535,5.3376,0,17.58204211
83,7,9412,5.35072,0,22.71333871
84,1,9644,5.46848,34.20840936,25.44771916
85,2,13865,5.74848,30.91223816,22.99568936
86,3,14230,5.74848,0,9.049838064
87,4,15593,5.74848,55.06128261,9.196187873
88,5,12353,5.74848,51.05679748,7.511932803
89,6,7134,5.74848,32.85034536,8.310108541
90,7,5646,5.74848,44.06230857,5.621948018
91,1,7316,5.74848,0,6.065577848
92,2,6643,5.74848,0,6.48141668
93,3,7297,5.74848,32.58846557,3.250813255
94,4,6501,5.74848,38.18714451,5.588362611
95,5,8130,5.74848,0,2.605303518
96,6,6817,5.74848,0,4.936259362
97,7,6275,5.74848,0,2.409814155
98,1,5923,5.74848,31.6230646,2.589547369
99,2,7958,5.74848,35.90249345,2.646308334
100,3,9483,5.74848,0,2.502377179
101,4,9122,5.70624,98.19304997,7.772228196
102,5,9211,5.70624,54.68672638,7.432524907
103,6,12519,5.70624,61.48781443,2.145835372
104,7,11539,5.70624,0,2.49830738
105,1,17418,5.70624,51.96199617,1.744836084
106,2,9577,5.70624,0,0
107,3,8910,5.70624,0,0
108,4,8053,5.70624,0,0
109,5,15677,5.01104,74.99261286,0
110,6,9067,5.01104,33.16033044,7.266424463
111,7,9074,5.01104,79.93926379,25.55880148
112,1,8874,5.22128,34.06871981,25.89808503
113,2,8858,5.22128,29.34784467,31.40990381
114,,12327,5.22128,0,25.04361777
