Index,Stonyfield,Yoplait,Dannon,Feature_S,Feature_Y,Feature_D,Price_S,Price_Y,Price_D,Income,HH Size,Pan ID
1,0,0,1,0,0,0,0.108,0.081,0.061000001,9,2,1
2,0,1,0,0,0,0,0.108,0.097999997,0.064000003,9,2,1
3,0,1,0,0,0,0,0.108,0.097999997,0.061000001,9,2,1
4,0,1,0,0,0,0,0.108,0.097999997,0.061000001,9,2,1
5,0,1,0,0,0,0,0.125,0.097999997,0.048999999,9,2,1
6,0,1,0,0,0,0,0.108,0.092,0.050000001,9,2,1
7,0,1,0,0,0,0,0.103,0.081,0.048999999,9,2,1
8,0,0,1,0,0,0,0.108,0.086000003,0.054000001,9,2,1
9,1,0,0,0,0,0,0.108,0.097999997,0.050000001,7,2,2
10,1,0,0,0,0,0,0.108,0.097999997,0.050000001,7,2,2
11,1,0,0,0,0,0,0.108,0.097999997,0.050000001,7,2,2
12,1,0,0,0,0,0,0.108,0.097999997,0.050000001,7,2,2
13,0,0,1,0,0,0,0.108,0.081,0.050000001,7,2,2
14,0,0,1,0,0,0,0.108,0.081,0.050000001,7,2,2
15,0,0,1,0,0,0,0.108,0.081,0.050000001,7,2,2
16,0,0,1,0,0,0,0.108,0.081,0.050000001,7,2,2
17,0,0,1,0,0,0,0.108,0.081,0.050000001,7,2,2
18,0,0,1,0,0,0,0.108,0.081,0.050000001,7,2,2
19,0,0,1,0,0,0,0.108,0.081,0.050000001,7,2,2
20,0,0,1,0,0,0,0.108,0.081,0.050000001,7,2,2
21,0,0,1,0,0,0,0.108,0.081,0.050000001,7,2,2
22,0,0,1,0,0,0,0.108,0.081,0.050000001,7,2,2
23,0,0,1,0,0,0,0.108,0.081,0.050000001,7,2,2
24,0,0,1,0,0,0,0.108,0.081,0.050000001,7,2,2
25,0,0,1,0,0,0,0.112,0.081,0.050000001,7,2,2
26,0,0,1,0,0,0,0.112,0.081,0.050000001,7,2,2
27,0,0,1,0,0,0,0.112,0.081,0.050000001,7,2,2
28,0,0,1,0,0,0,0.108,0.081,0.050000001,7,2,2
